fname	 datetime	 frames	 zdepth	 tottime (s)	 stimbouts	locnum	active cells	inverted cell flag	stimulus code	qualitative goodness (0-10)	Driver	Moving	Layer(2/4)	Stimulus Wavelength	flyID	responsivefly	Layercheck	SingleFly	PTX_5_100	Washout5mM	Washout100mM
200729_Fly4_5_Image5_pData_SIMA_only_m.mat		1700	30.87	159464					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	571	1	0	0	0	0	0
200729_Fly4_8_Image8_pData_SIMA_only_m.mat		1700	75.12	159464					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	571	1	0	0	0	0	0
200729_Fly4_9_Image9_pData_SIMA_only_m.mat		1700	30.2	1651582					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	571	1	0	0	0	0	0
200804_Fly1_10_Image12_pData_SIMA_only_m.mat		1800	45.15	1636407					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	572	1	0	0	0	0	0
200804_Fly1_11_Image13_pData_SIMA_only_m.mat		1800	60.5	1636407					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	572	1	0	0	0	0	0
200804_Fly1_12_Image14_pData_SIMA_only_m.mat		1800	76.8	1636407					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	572	1	0	0	0	0	0
200804_Fly1_1_Image3_pData_SIMA_only_m.mat		1800	30.52	1637136					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	572	1	0	0	0	0	0
200804_Fly1_2_Image4_pData_SIMA_only_m.mat		1800	44.58	1637136					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	572	1	0	0	0	0	0
200804_Fly1_3_Image5_pData_SIMA_only_m.mat		1800	60.15	1637136					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	572	1	0	0	0	0	0
200804_Fly1_4_Image6_pData_SIMA_only_m.mat		1800	75.68	1637136					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	572	1	0	0	0	0	0
200804_Fly1_5_Image7_pData_SIMA_only_m.mat		1800	30.43	1636381					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	572	1	0	0	0	0	0
200804_Fly1_6_Image8_pData_SIMA_only_m.mat		1800	45.17	1636381					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	572	1	0	0	0	0	0
200804_Fly1_7_Image9_pData_SIMA_only_m.mat		1800	60.53	1636381					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	572	1	0	0	0	0	0
200804_Fly1_8_Image10_pData_SIMA_only_m.mat		1800	75.43	1636381					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	572	1	0	0	0	0	0
200804_Fly1_9_Image11_pData_SIMA_only_m.mat		1800	29.75	1636407					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	572	1	0	0	0	0	0
200804_Fly3_10_Image10_pData_SIMA_only_m.mat		1800	45.58	1636519					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	573	1	0	0	0	0	0
200804_Fly3_11_Image11_pData_SIMA_only_m.mat		1800	60.53	1636519					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	573	1	0	0	0	0	0
200804_Fly3_1_Image1_pData_SIMA_only_m.mat		1800	29.37	1636823					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	573	1	0	0	0	0	0
200804_Fly3_2_Image2_pData_SIMA_only_m.mat		1800	46.9	1636823					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	573	1	0	0	0	0	0
200804_Fly3_3_Image3_pData_SIMA_only_m.mat		1800	60.73	1636823					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	573	1	0	0	0	0	0
200804_Fly3_4_Image4_pData_SIMA_only_m.mat		1800	75.08	1636823					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	573	1	0	0	0	0	0
200804_Fly3_5_Image5_pData_SIMA_only_m.mat		1800	30.68	1637074					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	573	1	0	0	0	0	0
200804_Fly3_6_Image6_pData_SIMA_only_m.mat		1800	45.67	1637074					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	573	1	0	0	0	0	0
