fname	 datetime	 frames	 zdepth	 tottime (s)	 stimbouts	locnum	active cells	inverted cell flag	stimulus code	qualitative goodness (0-10)	Driver	Moving	Layer(2/4)	Stimulus Wavelength	flyID	responsivefly	Layercheck	SingleFly	PTX_5_100	Washout5mM	Washout100mM
181127_Fly1_2_Image2_pData_SIMA_only_m.mat		1350	43646	1351763					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	255	1	0	0	0	0	0
181127_Fly1_2_Image3_pData_SIMA_only_m.mat		1350	43646	1351763					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	255	1	0	0	0	0	0
181127_Fly2_1_Image2_pData_SIMA_only_m.mat		1100	15.95	1101436					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	256	1	0	0	0	0	0
181127_Fly2_1_Image3_pData_SIMA_only_m.mat		1100	15.95	1101436					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	256	1	0	0	0	0	0
181127_Fly2_2_Image2_pData_SIMA_only_m.mat		1000	30.15	1001306					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	256	1	0	0	0	0	0
181127_Fly2_2_Image3_pData_SIMA_only_m.mat		1000	30.15	1001306					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	256	1	0	0	0	0	0
181127_Fly2_3_Image2_pData_SIMA_only_m.mat		1000	45.58	1001306					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	256	1	0	0	0	0	0
181127_Fly2_3_Image3_pData_SIMA_only_m.mat		1000	45.58	1001306					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	256	1	0	0	0	0	0
181127_Fly2_4_Image2_pData_SIMA_only_m.mat		1000	60.92	1001306					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	256	1	0	0	0	0	0
181127_Fly2_4_Image3_pData_SIMA_only_m.mat		1000	60.92	1001306					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	256	1	0	0	0	0	0
181127_Fly2_5_Image2_pData_SIMA_only_m.mat		1000	75.18	1001306					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	256	1	0	0	0	0	0
181127_Fly2_5_Image3_pData_SIMA_only_m.mat		1000	75.18	1001306					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	256	1	0	0	0	0	0
181127_Fly2_6_Image2_pData_SIMA_only_m.mat		1000	45.42	1001306					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	256	1	0	0	0	0	0
181127_Fly2_6_Image3_pData_SIMA_only_m.mat		1000	45.42	1001306					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	256	1	0	0	0	0	0
181127_Fly2_7_Image2_pData_SIMA_only_m.mat		1000	90.22	1001306					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	256	1	0	0	0	0	0
181127_Fly3_1_Image2_pData_SIMA_only_m.mat		1000	15.57	1001306					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	257	1	0	0	0	0	0
181127_Fly3_1_Image3_pData_SIMA_only_m.mat		1000	15.57	1001306					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	257	1	0	0	0	0	0
181127_Fly3_2_Image2_pData_SIMA_only_m.mat		1000	43585	1001306					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	257	1	0	0	0	0	0
181127_Fly3_2_Image3_pData_SIMA_only_m.mat		1000	30.43	1001306					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	257	1	0	0	0	0	0
181127_Fly3_3_Image2_pData_SIMA_only_m.mat		1000	46.48	1001306					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	257	1	0	0	0	0	0
181127_Fly3_3_Image3_pData_SIMA_only_m.mat		1000	46.48	1001306					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	257	1	0	0	0	0	0
